번호	사업장명	소재지전체주소
204	글로벌 스테이	서울특별시 은평구 진관동 84번지 은평뉴타운우물골 239동 301호
205	스마일 홈스테이	서울특별시 은평구 진관동 105번지 은평뉴타운마고정아파트 324동 505호
206	북한산 옐로우 게스트 하우스	서울특별시 은평구 불광동 16-96번지 
207	연게스트하우스	서울특별시 서대문구 연희동 162-8번지 
208	야코리아게스트하우스	서울특별시 서대문구 창천동 504-11번지 
209	필스테이이화부띠끄	서울특별시 서대문구 대현동 56-126번지 유성빌딩 4층 
210	더메이하우스	서울특별시 서대문구 연희동 446-154번지 지층1층2층 
211	타임트래블러파티게스트하우스	서울특별시 서대문구 창천동 457번지 12층 
212	하트 오브 서울 (Heart of Seoul)	서울특별시 서대문구 냉천동 33-1번지 1층 
213	JM GUEST HOUSE	서울특별시 서대문구 창천동 52-39번지 4층 
214	제이미 하우스	서울특별시 서대문구 북아현동 136-21번지 401동 605호
215	Mia House in Hongdae	서울특별시 서대문구 창천동 501-25번지 한빛위너스 102호
216	1.9평의 방	서울특별시 서대문구 홍제동 8-77번지 
217	TAKUSTAY	서울특별시 서대문구 창천동 90-3번지 2층 
218	HJ'S HOUSE	서울특별시 서대문구 천연동 117번지 201호
219	오나우미	서울특별시 서대문구 천연동 117-6번지 
220	로뎀하우스	서울특별시 강서구 화곡동 1012-2번지 
221	아리아하우스	서울특별시 강서구 방화동 793번지 102동 1101호
222	다솜하우스	서울특별시 강서구 등촌동 691-1번지 102동 503호
223	Homestay in Seoul	서울특별시 강서구 등촌동 688번지 303동 908호
224	샤론	서울특별시 강서구 등촌동 630-11번지 102동 1206호
225	파파스테이(PAPA Stay)	서울특별시 강서구 마곡동 717번지 101동 1104호
226	더심플하우스	서울특별시 강서구 공항동 24-4번지 3층 
227	秀家(수가)	서울특별시 강서구 화곡동 1165번지 130동 1501호
228	Seoul Homestay	서울특별시 서대문구 남가좌동 335-11번지 2층 
229	The Chic House	서울특별시 서대문구 창천동 366번지 502호
230	Siyoung House	서울특별시 서대문구 창천동 112-24번지 
231	김치다운타운 게스트하우스 2A	서울특별시 서대문구 합동 31-13번지 2층 A호
232	김치다운타운 게스트하우스 2B	서울특별시 서대문구 합동 31-13번지 2층 B호
233	김치다운타운 게스트하우스 3A	서울특별시 서대문구 합동 31-13번지 3층 A호
234	김치다운타운 게스트하우스 3B	서울특별시 서대문구 합동 31-13번지 3층 B호
235	메디치하우스	서울특별시 서대문구 연희동 112-32번지 
236	빅토리안 스튜디오	서울특별시 서대문구 연희동 351-26번지 
237	발자국	서울특별시 서대문구 창천동 62-9번지 2층 
238	가온 게스트하우스	서울특별시 서대문구 천연동 117-6번지 2층 203호
239	ICOS 게스트하우스 신촌	서울특별시 서대문구 창천동 4-65번지 12층 
240	게스트하우스 77	서울특별시 서대문구 연희동 353-53번지 1층 2층 
241	타임트래블러릴렉스	서울특별시 서대문구 창천동 275-3번지 
242	Merci Stay	서울특별시 서대문구 합동 31-7번지 5층 
243	연희동 '조'하우스	서울특별시 서대문구 연희동 200-71번지 
244	클로이 하우스	서울특별시 서대문구 창천동 501-25번지 201호
245	스테이 인 홍대	서울특별시 서대문구 창천동 501-25번지 302호
246	비스테이(B.stay)	서울특별시 서대문구 홍은동 396-19번지 401호
247	케이팝(K-POP)	서울특별시 성북구 길음동 1280번지 길음뉴타운 217동 402호
248	Jin's cozy house	서울특별시 중구 만리동1가 62-97번지 
249	스테이 마룸	서울특별시 중구 신당동 406-11번지 목원빌라 502호
250	디 스테이	서울특별시 중구 장충동1가 52-11번지 지층 
251	서울게스트하우스(Seoul Guest House)	서울특별시 성북구 삼선동1가 279-7번지 
252	대림빌리지	서울특별시 마포구 도화동 83번지 도화3지구우성아파트 
253	온유	서울특별시 마포구 창전동 2-75번지 
254	Blossom House	서울특별시 마포구 동교동 200-2번지 기린동산빌라 4동 220호
255	네모의 집	서울특별시 강남구 자곡동 611번지 래미안 강남힐즈 
256	도깨비코티지 스위트	서울특별시 용산구 후암동 435번지 
257	주연과 강모의 집	서울특별시 서대문구 창천동 501-19번지 현대아트빌 
258	24게스트하우스 남산가든1	서울특별시 중구 남산동2가 37-1번지 1층 
259	초코파이 하우스	서울특별시 서대문구 창천동 290번지 
260	라일락	서울특별시 마포구 연남동 370-5번지 
261	H Place	서울특별시 중구 광희동2가 78번지 
262	공간 플러스	서울특별시 강서구 화곡동 1018-10번지 
263	꿈의 숲(Dream Forest)	서울특별시 성북구 장위동 316-5번지 참누리아파트 
264	워밍홈스테이	서울특별시 마포구 도화동 194-5번지 
265	한스스테이	서울특별시 양천구 신정동 894-30번지 
266	화웬하우스1	서울특별시 마포구 연남동 570-35번지 
267	화웬하우스2	서울특별시 마포구 연남동 570-35번지 
268	이고엑스퍼트그룹	서울특별시 광진구 자양동 859번지 래미안프리미어팰리스 101동 2801호
269	아뜰리에	서울특별시 종로구 인의동 89-15번지 12층 
270	코지 플레이스 게스트하우스	서울특별시 마포구 서교동 347-11번지 
271	TETTO	서울특별시 마포구 연남동 390-30번지 
272	수준있는집	서울특별시 용산구 서계동 260-7번지 
273	오렌지큐브 하우스	서울특별시 용산구 한남동 789-10번지 
274	유어 홈	서울특별시 용산구 서계동 96-13번지 
275	그린홈스테이	서울특별시 도봉구 창동 805번지 동아그린아파트 101동 1309호
276	도봉홈스테이	서울특별시 도봉구 도봉동 30-1번지 한신아파트 109동 1109호
277	해피비니하우스	서울특별시 도봉구 창동 805번지 동아그린아파트 103동 1203호
278	즐거운 집	서울특별시 도봉구 창동 825번지 북한산아이파크 507동 104호
279	Dobong House	서울특별시 도봉구 쌍문동 59번지 8동 1208호
280	아이러브태권도	서울특별시 도봉구 방학동 531번지 신동아아파트 106동 1402호
281	시르다료	서울특별시 도봉구 창동 811번지 101동 404호
282	히토미	서울특별시 은평구 갈현동 540번지 우남아파트 102동 202호
283	파라다이스	서울특별시 은평구 진관동 11번지 은평뉴타운 상림마을 
284	재오하우스	서울특별시 은평구 증산동 202-28번지 삼보아트빌 202호
285	엠마의 집	서울특별시 은평구 대조동 200-18번지 
286	다나스테이	서울특별시 용산구 보광동 265-210번지 
287	S house	서울특별시 용산구 용산동2가 23-18번지 
288	지미집2	서울특별시 용산구 용산동2가 1-1343번지 
289	지미집1	서울특별시 용산구 용산동2가 1-1343번지 
290	아보카도 게스트하우스	서울특별시 용산구 이태원동 63-1번지 
291	무슬림스테이	서울특별시 용산구 보광동 265-519번지 
292	뉴욕맨션	서울특별시 용산구 보광동 265-519번지 
293	MW 게스트하우스	서울특별시 용산구 이태원동 64-28번지 
294	The Gracia	서울특별시 용산구 이태원동 697번지 
295	Parched Mansion	서울특별시 용산구 이태원동 451-5번지 
296	서울타워패밀리게스트하우스	서울특별시 용산구 남영동 43-2번지 
297	에디하우스(Eddy house)	서울특별시 용산구 용산동2가 38-19번지 
298	O.K. House	서울특별시 양천구 목동 925번지 목동신시가지아파트7단지 721동 1402호
299	Seoul 910	서울특별시 양천구 목동 513-22번지 서영빌라 601호
300	Sugar House	서울특별시 양천구 신정동 982-1번지 신이모닝빌아파트 403호
301	han guest house(한게스트하우스)	서울특별시 양천구 목동 521-10번지 동백빌라 301호
302	孝 House	서울특별시 양천구 신정동 329번지 1418동 1103호
303	HOUSE IN STUDIO	서울특별시 양천구 목동 531-1번지 
304	진 아트하우스(Jin's Art House)	서울특별시 양천구 신정동 1314번지 양천중앙하이츠아파트 103동 704호
305	빠짝연수	서울특별시 서초구 방배동 894-7번지 
306	927 펜트하우스 인 강남	서울특별시 서초구 반포동 743-14번지 701호
307	강남교보하우스	서울특별시 서초구 반포동 741-5번지 산호아파트 102호
308	김치다운타운 게스트하우스 1B	서울특별시 서대문구 합동 31-13번지 1층 B호
309	예포게스트하우스	서울특별시 서대문구 연희동 446-253번지 
310	코지박스	서울특별시 서대문구 대현동 27-46번지 
311	닥터죤의 게스트하우스(Dr john's guest house)	서울특별시 성북구 돈암동 642번지 돈암신일해피트리@ 103동 1102호
312	퍼즐스테이(Puzzlestay)	서울특별시 성북구 정릉동 715-6번지 
313	씨앤씨 스테이(C&C Stay)	서울특별시 성북구 보문동6가 262번지 
314	써니서울	서울특별시 성북구 하월곡동 222번지 월곡두산위브아파트 108동 2002호
315	에어비앤비 (SK Airb&b)	서울특별시 성북구 종암동 104-1번지 SK아파트 101동 305호
316	스튜디오웨슬리	서울특별시 중구 남산동2가 25-5번지 
317	마이홈 게스트하우스	서울특별시 중구 광희동2가 177-1번지 
318	아로하 게스트하우스	서울특별시 중구 을지로7가 35번지 
319	ware house	서울특별시 중구 광희동2가 149번지 2층 
320	선물플러스	서울특별시 중구 회현동2가 50-2번지 2층 
321	리본 게스트하우스	서울특별시 강남구 역삼동 830-46번지 파크앤스위트 
322	누에 게스트하우스	서울특별시 마포구 연남동 390-25번지 
323	홍시주택	서울특별시 마포구 상수동 87-4번지 
324	레미니스 앤	서울특별시 송파구 오금동 616번지 송파레미니스 
325	리즈하우스	서울특별시 마포구 연남동 390-26번지 
326	모여집	서울특별시 서대문구 연희동 151-62번지 
327	해와 달	서울특별시 서대문구 연희동 132-72번지 
328	JUHEE	서울특별시 마포구 서교동 328-74번지 101호
329	casa cielo	서울특별시 용산구 청파동1가 121-10번지 
330	게스트하우스 미야	서울특별시 마포구 연남동 382-19번지 
331	소쿠리홈	서울특별시 종로구 통의동 91-19번지 비스플라자 5층 
332	보안스테이	서울특별시 종로구 통의동 2-1번지 34층 
333	아프리카 게스트하우스	서울특별시 마포구 연남동 566-2번지 
334	서교 하우스	서울특별시 마포구 서교동 379-16번지 
335	댓 하우스	서울특별시 용산구 이태원동 76-2번지 
336	올빛(ORBIT)	서울특별시 마포구 동교동 152-21번지 
337	마루비	서울특별시 마포구 동교동 181-8번지 
338	The Myeongdong Residence	서울특별시 중구 회현동3가 7번지 
339	121	서울특별시 종로구 계동 14-1번지 34층 
340	HEAVEN	서울특별시 용산구 보광동 265-960번지 대우전자보광대리점 
341	CENTRAL SMART LOCATION	서울특별시 용산구 용산동2가 32-3번지 
342	낙산발코니	서울특별시 종로구 창신동 23-513번지 23층 
343	GUESTHOUSE WOODY	서울특별시 마포구 연남동 487-126번지 
344	서울큐브	서울특별시 마포구 합정동 357-9번지 
345	소월길 민박	서울특별시 용산구 이태원동 258-334번지 
346	길스 하우스(Gil'S house)	서울특별시 성북구 하월곡동 84-100번지 
347	조니하우스	서울특별시 강남구 신사동 555-15번지 
348	honey bee	서울특별시 마포구 아현동 700-1번지 
349	서울크라운88게스트하우스	서울특별시 마포구 연남동 224-41번지 
350	아씨방	서울특별시 관악구 남현동 1072-60번지 예촌하이츠빌 102호
351	신림빌	서울특별시 관악구 신림동 479-51번지 삼성맨션 A동 302호
352	ryan민박	서울특별시 용산구 이촌동 411번지 동아그린아파트 101동 1002호
353	제로미네	서울특별시 용산구 이태원동 116-10번지 1~2층 
354	Cozy Lodge	서울특별시 관악구 봉천동 1712번지 관악드림타운아파트 107동 701호
355	앨리스 홈스테이	서울특별시 관악구 봉천동 1712번지 관악드림타운아파트 122동 801호
356	Kay's house	서울특별시 관악구 봉천동 1585-15번지 동명빌라 201호
357	굿데이게스트하우스	서울특별시 관악구 신림동 1735번지 204동 104호
358	엄마홈스테이	서울특별시 관악구 신림동 1693번지 
359	안녕게스트하우스	서울특별시 관악구 봉천동 1700번지 101동 207호
360	스텔라홈스테이	서울특별시 관악구 봉천동 1592-17번지 1001호
361	예뻐라 홈스테이	서울특별시 관악구 봉천동 1001번지 120동 508호
362	페닌슐라 게스트하우스	서울특별시 관악구 신림동 1566-40번지 1층 
363	삼성산 휴	서울특별시 관악구 신림동 1714번지 삼성산주공아파트 306동 801호
364	관악산팬트하우스	서울특별시 관악구 남현동 602-120번지 5층 
365	더블유게스트하우스	서울특별시 관악구 봉천동 1692-25번지 202호
366	로빈하우스 SNU	서울특별시 관악구 봉천동 1513-5번지 402호
367	휴휴당게스트하우스	서울특별시 관악구 신림동 1727번지 임광관악파크아파트 101동 103호
368	아네스 인	서울특별시 용산구 이태원동 451-1번지 
369	Robin's Nest (로빈스 네스트)	서울특별시 용산구 한남동 736-39번지 203호
370	한강뷰(Han river View)	서울특별시 용산구 한강로3가 16-85번지 GS한강에클라트 2401호
371	덕수궁하우스(Deok su gung House)	서울특별시 용산구 원효로2가 8-20번지 
372	Itaewon backpackers	서울특별시 용산구 한남동 686-11번지 
373	시온게스트하우스	서울특별시 용산구 한남동 729-10번지 
374	SP@Itaewon	서울특별시 용산구 이태원동 112-11번지 
375	쯔요시노이에(tuyosinoie)	서울특별시 용산구 후암동 60-12번지 노바펠리스 401호
376	아오이소라	서울특별시 용산구 이촌동 418번지 동부센트레빌 103동 2107호
377	마틴비앤비	서울특별시 용산구 효창동 2-17번지 
378	Yam Guest House	서울특별시 성북구 동선동3가 41-1번지 
379	BJ Guest House	서울특별시 성북구 성북동1가 104-34번지 
380	두리 게스트 하우스	서울특별시 성북구 종암동 30-71번지 
381	The Healing Homestay	서울특별시 노원구 중계동 435-1번지 현대아파트 201동 906호
